Date,Close,High,Low,Open,Volume
2021-08-16,242.22779846191406,243.3910267226834,241.00466514642645,241.98830875514273,1066600
2021-08-17,245.07603454589844,245.24710982167696,240.46585082103888,240.46585082103888,922500
2021-08-18,242.38177490234375,245.72609564187036,242.3389930310788,244.58849984353557,1146200
2021-08-19,247.30841064453125,247.8130487064309,240.85069834556512,240.85069834556512,1203200
2021-08-20,248.74530029296875,249.600624184133,246.1194496825152,247.5307288824535,1712800
2021-08-23,246.7695770263672,248.32624712990136,245.74317761306384,247.51370485492248,1071400
2021-08-24,243.4252166748047,247.88144742542872,242.39028193899895,247.60773747966317,978000
2021-08-25,241.97119140625,243.50222890920801,240.96191519638938,243.46800863529484,973400
2021-08-26,242.210693359375,243.6561933018116,240.96192737385527,241.38958946090938,960900
2021-08-27,244.19500732421875,244.46015568180647,241.38098399418743,243.6133932561178,882400
2021-08-30,249.48089599609375,249.5578720231683,243.95551031037948,244.19499998430595,1632600
2021-08-31,249.9000244140625,250.3790037655797,247.01756060977394,247.89854328514494,2327100
2021-09-01,254.8523406982422,255.26290562955793,249.74605519448207,250.48164743362054,1658400
2021-09-02,257.35845947265625,257.4354355029335,252.91076408334857,254.97209812438885,1795800
2021-09-03,258.31640625,258.56443141305016,254.17664127586116,256.6399524379541,1645300
2021-09-07,255.93006896972656,258.2565514814983,252.4061379818412,257.02488273394744,1535200
2021-09-08,259.69354248046875,259.77908012525273,255.20309020476722,255.45114154391337,1512700
2021-09-09,253.87728881835938,259.7704579039373,253.76609251633406,258.7355231201339,1243100
2021-09-10,251.36264038085938,254.15954067634127,248.09529618820923,253.59502366119082,1488700
2021-09-13,251.9870147705078,255.24582353070886,250.76390760024742,253.6121514050294,1270100
2021-09-14,253.5180206298828,254.70693348269984,252.15805864374468,252.5686235480645,1109700
2021-09-15,254.25363159179688,254.74114645504986,251.679097887649,253.7062116789553,1044200
2021-09-16,254.1510467529297,254.886613039922,250.47313701069834,253.85167806075384,906500
2021-09-17,251.2514190673828,254.50163974967094,251.09746701559806,251.32839509327522,2994000
2021-09-20,249.06190490722656,251.59365772885448,245.99982905118364,249.36127365663373,2374700
