Date,Close,High,Low,Open,Volume
2021-08-13,73.17093658447266,73.2586243079718,72.6273101607288,72.99557451674252,3999500
2021-08-16,73.60936737060547,74.03024580686595,72.90791222968572,73.1709553989172,8579700
2021-08-17,73.61814880371094,73.65322256959574,72.88161978904066,73.30249160038458,5257000
2021-08-18,74.02147674560547,74.49496248450966,73.55676111935763,73.85488474295029,9511700
2021-08-19,74.13548278808594,74.61773204528797,73.58307930540877,73.62692318771677,6968000
2021-08-20,75.65235900878906,75.78388392126251,73.6707352791911,74.12668741714776,7589700
2021-08-23,74.00393676757812,75.47700115272058,73.66197598974465,75.24025495906028,8837100
2021-08-24,73.77596282958984,74.07408643589247,73.13588512515256,73.85488045964823,5786100
2021-08-25,74.11793518066406,74.40728871996167,73.28495501683507,73.77597433954382,5930000
2021-08-26,73.82284545898438,74.1575673603651,73.69952898592109,74.08709888425929,5294000
2021-08-27,73.47051239013672,74.15756319294894,73.40884743682668,73.93735425767613,5974200
2021-08-30,73.94615936279297,74.21041277888642,73.118178318171,73.3383872581677,6001700
2021-08-31,73.98141479492188,74.37779503262297,73.55861727233525,73.83167428568268,6844000
2021-09-01,75.1705322265625,75.5404884106997,74.04306335360714,74.12234207886674,5862300
2021-09-02,76.17469024658203,76.20111424787726,75.24099963926889,75.24099963926889,5214000
2021-09-03,75.47884368896484,76.0249577420029,75.20577994220004,75.54050194399319,4621100
2021-09-07,74.89746856689453,75.30265223694863,74.40420265904501,75.25861447817292,6791300
2021-09-08,76.13946533203125,76.60630733275478,74.68608460055088,74.97676209089602,6230100
2021-09-09,75.61094665527344,76.34204202863091,75.53167465394864,76.00732682263022,4108300
2021-09-10,74.80937957763672,75.72544955257152,74.51870217092558,75.72544955257152,5508000
2021-09-13,74.50109100341797,75.69902818765794,74.33373005672098,75.65498371108181,6498800
2021-09-14,74.5539321899414,75.03839450705749,74.38657125852986,74.68605888735878,4658200
2021-09-15,74.52751159667969,74.99435345798848,74.04304925744796,74.28087866770473,5707000
2021-09-16,73.9902114868164,74.844623337558,73.69073052318224,74.41301565221997,5380600
2021-09-17,71.91144561767578,73.92856072708932,71.83217360877823,73.4617187540396,15390400
2021-09-20,71.95548248291016,72.7041916087177,71.04822263585268,71.82335576182784,8994100
2021-09-21,72.15807342529297,72.98606130008591,71.99071917844236,72.16688366573071,6450700
2021-09-22,72.14044952392578,73.03009551623713,71.84977211254036,72.3078037472515,5662200
2021-09-23,71.58551788330078,72.56324609574037,71.47101165598785,72.38708163522149,6414300
2021-09-24,71.08343505859375,71.99070143320228,70.89846037646272,71.55908712132045,6113800
2021-09-27,69.37462615966797,71.1627216725999,69.18965145697607,70.47567085681753,8600900
2021-09-28,68.06217956542969,69.22488255699894,67.83316709514274,69.12799680125836,9257400
2021-09-29,69.01348114013672,69.61244973171924,68.22072760418287,68.3704747922612,7496100
2021-09-30,69.16322326660156,69.94717330224317,68.61710937781514,69.44509045056209,10186800
2021-10-01,69.77100372314453,70.10571891175015,68.72280695847392,69.60364276871977,7961100
2021-10-04,69.90312194824219,70.39638779158935,69.15441294452079,69.63006503070973,6027800
2021-10-05,70.00883483886719,70.3787842752087,69.66530268198541,69.96479035919812,5434600
2021-10-06,71.50625610351562,71.60314858671065,69.27774243051863,69.81505284814767,6876200
2021-10-07,71.27723693847656,72.76585170823004,71.16273069474336,71.77050959510318,5753200
2021-10-08,70.65184020996094,71.37412531246947,70.59899221131816,71.3565115530032,3592900
2021-10-11,68.55545043945312,69.90312810897439,68.47617172464639,69.76219115831516,8798700
2021-10-12,69.47152709960938,69.74458406731173,68.32643778688355,68.79327972014669,7791200
2021-10-13,70.63423156738281,70.7839720545475,69.22488877920262,69.62126895846997,6260100
2021-10-14,71.75289154052734,72.0964170035868,70.65184666655612,70.78397339548158,6486000
2021-10-15,71.93785858154297,72.62490943420444,71.52386467795365,72.1756880122297,14634200
2021-10-18,71.3388900756836,71.92905517333226,71.13630160355665,71.64718126386192,4942100
2021-10-19,72.25495147705078,72.3606541804572,71.54147670972588,71.98189456022136,5717500
2021-10-20,73.91975402832031,74.57157749385675,72.56326580902844,72.88917754179666,6942600
2021-10-21,73.82284545898438,74.60678877499119,73.74357346354816,74.17518111926968,4945000
2021-10-22,74.36015319824219,74.50989366448688,73.76118461301988,73.963779794596,4732400
2021-10-25,74.24565124511719,74.70368290949493,73.92854981583879,74.3425437218547,3987300
2021-10-26,75.28502655029297,75.99850129971922,74.31610864755835,74.35134288114325,6969100
2021-10-27,74.87985229492188,76.06016902631298,74.65964334770023,75.76068808380852,4356900
2021-10-28,76.121826171875,76.18348440740374,74.63321827975456,74.80057250747903,6568400
2021-10-29,75.16173553466797,76.15707776944795,74.81821004123748,75.90163452967359,7792600
2021-11-01,75.39073944091797,75.59333464941245,74.8093912569782,75.25861943564377,5135200
2021-11-02,75.24099731445312,75.96328244859811,74.33373745671244,75.61975700188552,7266400
2021-11-03,75.08243560791016,75.5757081855846,74.20159987950122,75.46119523993573,5723200
2021-11-04,74.6596450805664,75.21456922115715,73.25911264920323,75.0119807483476,6594000
2021-11-05,75.33787536621094,75.49642605895917,74.27206498949788,74.65082460438293,4885400
2021-11-08,74.50990295410156,75.39954906371202,74.02544725816092,75.33789082167432,5391000
