Date,Close,High,Low,Open,Volume
2021-08-25,125.47175598144531,125.87631090464524,125.10238674865009,125.8235457884472,3861500
2021-08-26,125.25186920166016,125.50691844195595,124.41639037120787,125.3749922564699,4749400
2021-08-27,125.1551513671875,125.55970628877876,124.56591853963745,125.30465700229044,4741200
2021-08-30,125.70038604736328,125.7531645732107,124.92647545388597,125.41017796193836,3845800
2021-08-31,125.22547912597656,126.2280563461744,124.92646792788727,125.79711897052405,9642400
2021-09-01,126.50070190429688,126.80851627368483,125.08477996004576,125.17273075684446,6214200
2021-09-02,126.59744262695312,127.28341590103825,126.27204883318154,126.6150354702241,5392500
2021-09-03,126.68539428710938,126.96681268432482,126.21928458280908,126.43034502586876,5466400
2021-09-07,126.21052551269531,127.08119040249669,126.01704442607277,126.92289501493951,6520600
2021-09-08,127.16912078857422,127.46813208550275,125.77077799287169,125.83234624663294,6897800
2021-09-09,126.63265228271484,127.4153662138323,126.33362756813857,127.14273747886253,6354700
2021-09-10,126.75575256347656,127.04597409282898,126.0433967275241,126.6941843211559,5750000
2021-09-13,128.118896484375,129.48205333859443,127.38896122159545,127.38896122159545,9952500
2021-09-14,127.89904022216797,128.71693974923267,127.4769058898102,128.5146690053083,5831800
2021-09-15,127.62641906738281,128.1980724827621,127.29223551839833,127.82870324267864,6237100
2021-09-16,126.7381820678711,127.68799448975801,125.60369172527312,127.38018006269289,6142100
2021-09-17,126.94044494628906,128.6465886303481,126.84370442545863,126.96682750475107,18737400
2021-09-20,125.66522216796875,127.3889584700257,124.85612583660568,126.8348979766132,10238700
2021-09-21,125.85870361328125,127.10752709112674,125.65643288460258,125.74437026170278,6651300
2021-09-22,126.28965759277344,126.94924839478429,125.63885650380209,126.48313863491603,6332500
2021-09-23,126.80854034423828,127.24826757288497,126.19292490801493,126.69420697057892,5171200
2021-09-24,126.24569702148438,127.03720070912821,125.84114204417945,126.46556064798663,5009400
2021-09-27,124.58349609375,125.91146722096167,124.46037303175295,125.89387437798857,5749700
2021-09-28,123.64248657226562,124.32845990683926,122.7366496453438,124.04704148672612,7015300
2021-09-29,124.90010070800781,125.48053033454606,123.28189463269818,123.3610557167143,5460000
2021-09-30,122.94772338867188,125.53332137892522,122.71026695176468,125.44537057431998,6934900
2021-10-01,122.7542495727539,123.32588957807776,121.64614183437138,123.06205056815541,5587200
2021-10-04,122.05948638916016,123.47540869690611,121.01294678727051,122.58716446660262,5816000
2021-10-05,122.53438568115234,123.5809385857708,121.9979179493483,122.0682759131237,6902700
2021-10-06,124.17015075683594,124.23170557775744,121.90994683746248,122.23535404315801,5332900
2021-10-07,125.16397094726562,125.78837612772463,124.66267544068435,124.66267544068435,5334600
2021-10-08,124.64503479003906,125.42774845849286,124.03820927034012,125.13752697431487,6131800
2021-10-11,125.16397094726562,125.559722788592,124.68026828812862,125.20793293676023,5995600
2021-10-12,124.97925567626953,125.79714176383779,124.61867617943683,125.41019313000187,6734800
2021-10-13,125.26947021484375,125.55088860730565,124.0294364551835,125.23428452865639,5689800
2021-10-14,126.68539428710938,126.9140475735599,125.5948661268064,125.61245897019724,6777800
2021-10-15,127.01078033447266,127.40653206047331,126.35997936279134,127.09873112665359,6923700
2021-10-18,125.1815414428711,126.37760001493201,124.97048096624313,126.24568721703953,9119000
2021-10-19,123.70405578613281,123.84477170699337,122.06827010950303,122.3145162613046,9555300
2021-10-20,124.1877670288086,124.84735785695959,122.99170845698508,123.25553405271768,7352700
2021-10-21,123.29399108886719,124.91337116843005,123.16124704802552,124.6478965893447,6545500
2021-10-22,124.62135314941406,124.78062979871605,123.28514952629814,123.34708594460504,5265000
2021-10-25,124.63906860351562,124.70100502855476,123.04623442436979,124.24970763721333,5382100
2021-10-26,126.40887451171875,126.70088171803172,124.98417478177795,125.32043000506528,6234900
2021-10-27,125.50625610351562,127.14332457809681,125.38236976758733,126.66548114025852,9643500
2021-10-28,126.25840759277344,126.43539963128767,125.40006101844395,125.55933764999062,4538500
2021-10-29,126.53277587890625,126.96637138997144,125.67441555758042,125.79830191825629,6239500
2021-11-01,126.22303771972656,127.24953229785314,126.09030717195112,126.86017135424657,5038900
2021-11-02,127.47962188720703,127.9397770250418,125.90448947578128,126.29385047682602,9954300
2021-11-03,128.35568237304688,128.4087745992585,127.00177659424794,127.54157006506718,7620100
2021-11-04,128.59457397460938,128.65651038654096,125.95754380730732,126.39999690217851,6402500
2021-11-05,129.23170471191406,129.5237253990261,128.13442958741825,128.70076905565423,6062700
2021-11-08,128.2671661376953,129.28481648943693,127.44420975575161,128.7538673056936,5854400
2021-11-09,128.65650939941406,129.0458702803288,127.93973755163772,128.33794263344717,4873100
2021-11-10,129.92193603515625,130.35553143573227,128.8334916766475,128.9662357095032,7334900
2021-11-11,129.55030822753906,130.0547114216861,129.3821873320919,129.95737116505782,4096300
2021-11-12,129.6918487548828,130.1520037533771,129.1786015455232,129.85113889007565,5687400
2021-11-15,130.43521118164062,130.74493385407837,129.61225462746265,130.10780010128184,5510200
2021-11-16,130.24935913085938,131.48822253720243,130.09006897713044,130.4263376885372,7603900
2021-11-17,130.16970825195312,130.77143799054758,129.56796501076155,130.05466612438772,4900200
2021-11-18,130.18743896484375,131.03695513950018,129.64764546386243,130.11664482507226,5509300
2021-11-19,129.92193603515625,131.1696435273781,129.89537642650737,130.92187086916402,6274300
2021-11-22,130.7891387939453,131.7979313197853,129.93077870148704,130.05466502913066,6625400
2021-11-23,132.2404022216797,132.29349444030345,130.6741142592842,130.81570251068015,7912800
2021-11-24,131.5501708984375,131.7448513603534,130.68295302168542,131.64751112939547,5665200
2021-11-26,130.4971466064453,132.48818598688902,130.35555834321198,131.47939324090154,6299800
2021-11-29,131.8687286376953,132.43506807818773,129.89537804593502,130.78028426561673,7113300
2021-11-30,127.93978118896484,131.44400330721388,127.5327182648241,130.7980253540571,11696400
2021-12-01,129.55030822753906,130.85112188311615,128.1787139331431,128.1787139331431,8313500
2021-12-02,130.311279296875,131.37317751569404,130.02811634042754,130.0900527517205,9468800
2021-12-03,132.6297607421875,132.73594517749797,130.66526767335264,130.98383448188258,11200800
2021-12-06,134.63845825195312,134.85084057773614,132.9040498504762,132.9040498504762,11935100
2021-12-07,134.2845458984375,135.0190198291001,133.8597946081194,134.46152447752004,7913400
2021-12-08,134.8862762451172,135.08981443925236,132.98373288369785,134.21375224118387,8329300
2021-12-09,135.67384338378906,136.44370756090427,134.15180343407704,134.78007935945186,8334300
2021-12-10,137.56752014160156,137.86838500099222,135.7711481808945,136.1428206573144,7172300
2021-12-13,139.52316284179688,140.10720419077944,137.08082652232085,137.42593940988374,8944000
2021-12-14,140.03640747070312,140.3726761507056,138.6294098400568,139.72668489674328,8677500
2021-12-15,140.57623291015625,141.2664588301285,139.4966460091534,139.4966460091534,9152600
2021-12-16,142.56723022460938,142.75306645706667,140.18683052306483,140.4611492688762,10852900
2021-12-17,139.3373565673828,143.1070526696618,139.20461251641441,142.16905412092095,24349400
2021-12-20,139.69131469726562,140.2222638997388,138.54979146532716,138.5763375751909,9202600
2021-12-21,139.6028289794922,139.94794193582433,138.7444686901994,139.50548873526517,6946000
2021-12-22,140.9832763671875,141.21334714126553,139.16921577521555,139.61166891947218,6626300
2021-12-23,141.67349243164062,142.39910851688018,141.08945108083486,141.14254329407223,5640900
2021-12-27,143.3282928466797,143.3459947556743,142.1248195844518,142.17791180883535,4548600
2021-12-28,144.09815979003906,144.5760168235941,143.30174940424806,143.31945131357247,5929400
2021-12-29,145.29275512695312,145.9918251030011,144.31050867788488,144.42555080787403,5346100
2021-12-30,144.03622436523438,145.6467470573661,143.89463609485338,145.47861267411375,5911500
2021-12-31,144.75294494628906,144.88567546344913,143.76185441123823,144.115811458729,5327000
2022-01-03,144.15122985839844,144.18663367160542,141.47882257300412,143.0805008043599,9317300
2022-01-04,144.65565490722656,145.46976720091007,143.51411805331995,143.61145830053212,9253800
2022-01-05,145.31048583984375,146.29273248364154,144.59370031388312,144.62910413132815,9330200
2022-01-06,144.0893096923828,146.18653352441459,143.89462920557986,145.42551348580307,7556000
2022-01-07,144.0096435546875,144.70871352953375,143.31056007724388,144.3547564414643,6098500
2022-01-10,142.04515075683594,144.34589883605176,141.73542817761583,143.80610549968927,8055000
2022-01-11,140.3992156982422,141.7796671583605,138.85062990597677,141.7796671583605,11957900
2022-01-12,140.7089385986328,141.01866118859624,139.66475570007796,140.0452589080808,7127500
2022-01-13,140.0718231201172,141.09831774813804,139.62052573314577,140.97443139665964,6551000
2022-01-14,141.4168701171875,142.01861340753783,139.42583099182232,139.87714183523462,10708000
2022-01-18,138.69134521484375,140.28417907845912,138.08075777524144,140.28417907845912,10988400
2022-01-19,143.35482788085938,145.29277493670168,138.9037500460011,139.47008956666104,14088300
2022-01-20,144.12884521484375,146.20181109915475,142.4562345188065,142.4562345188065,10799100
2022-01-21,144.68043518066406,147.1092827357591,144.21780918726765,145.01851950895636,10900400
2022-01-24,143.50608825683594,146.0149910625927,141.21070100658693,145.4011066894963,14838100
